what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373909200242
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1373909200251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373909200939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373909201181
activated,editor,com.android.ide.eclipse.adt,22.0.0.v201305140200--675183,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1373909201902
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1373909203203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373909216527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373911008730
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373911016555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373911210551
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1373911210603
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373911212220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373911230675
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1373911230704
activated,editor,com.android.ide.eclipse.adt,22.0.0.v201305140200--675183,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1373911236286
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1373911236302
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1373911251090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373911252699
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373911258954
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1373911258997
activated,editor,com.android.ide.eclipse.adt,22.0.0.v201305140200--675183,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1373911259385
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1373911260180
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1373911265104
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1373911276020
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1373911283253
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1373911285498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373911287784
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373911317074
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1373911317108
activated,editor,com.android.ide.eclipse.adt,22.0.0.v201305140200--675183,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1373911318172
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1373911319070
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1373911371337
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1373911374681
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1373911377050
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1373911380932
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1373911382651
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1373911429730
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373911429864
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373911431691
activated,editor,com.android.ide.eclipse.adt,22.0.0.v201305140200--675183,"com.android.ide.eclipse.editors.CommonXmlEditor",1373911445862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373911472914
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373911482745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373911484270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373911490602
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1373911490614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373911498687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373911516279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373911516446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373911517955
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373911518184
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1373911522058
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1373911522139
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1373911522185
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1373911522302
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1373911522413
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1373911522532
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1373911522606
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1373911522606
